departement,year,election_id,department_id,n,y,p_abstentions,lag_p_abstentions
Puy de Dôme,2002,3,64,425500,107950,0.2537015276145711,0.18426782470617956
Pyrénées Atlantiques,2002,3,65,449914,122016,0.2711984957125139,0.20203558577401023
Hautes Pyrénées,2002,3,66,169135,42150,0.24920921157655126,0.20048709710850865
Pyrénées Orientales,2002,3,67,285980,77583,0.2712882019721659,0.20530250510576906
Bas Rhin,2002,3,68,674932,176209,0.26107667142764013,0.20612815927278402
Haut Rhin,2002,3,69,478443,125450,0.2622046931400397,0.202119398296803
Rhône,2002,3,70,932367,240538,0.2579863937698353,0.19819160765494234
Haute Saône,2002,3,71,174494,41331,0.2368620124474194,0.18097661897988693
Saône et Loire,2002,3,72,398818,107775,0.27023604752042285,0.21359687076395176
Sarthe,2002,3,73,385397,106950,0.2775060522007177,0.1957286538339637
Savoie,2002,3,74,265061,70045,0.26425992507385093,0.20033125862234913
Haute Savoie,2002,3,75,421449,115057,0.2730033764464977,0.20359990874493172
Paris,2002,3,76,1081420,322390,0.29811729022951305,0.26671255534894234
Seine Maritime,2002,3,77,837659,221603,0.2645503719293889,0.2036534313737277
Seine et Marne,2002,3,78,721826,233624,0.3236569477962833,0.24371024811687325
Yvelines,2002,3,79,825450,257569,0.3120346477678842,0.2288356380781102
Deux Sèvres,2002,3,80,260937,63741,0.24427735430391243,0.18363489792061222
Somme,2002,3,81,399972,97116,0.2428069964897543,0.17252659071509985
Tarn,2002,3,82,261605,57900,0.2213260449914948,0.1622948334764916
Tarn et Garonne,2002,3,83,153813,34195,0.22231540897063318,0.17203255903142833
Vaucluse,2002,3,84,342882,83787,0.24436103382504767,0.20132646130488632
Vendée,2002,3,85,427886,102420,0.2393628209382873,0.15711477239577387
Vienne,2002,3,86,286933,70942,0.2472423875957105,0.1904541917050757
Haute Vienne,2002,3,87,260952,59701,0.2287815383672093,0.16991705895539116
Vosges,2002,3,88,283085,75922,0.26819506508645813,0.18969269546698028
Yonne,2002,3,89,235687,62408,0.2647918637854443,0.20119406873493845
Territoire de Belfort,2002,3,90,89645,21176,0.23622064811199733,0.18613059595095524
Essonne,2002,3,91,681760,216913,0.31816621685050456,0.23234780420873402
Hauts de Seine,2002,3,92,815173,263074,0.3227216799378782,0.2521335235680069
Seine Saint Denis,2002,3,93,630730,224064,0.3552455091719119,0.27461292930888015
Val de Marne,2002,3,94,677517,224607,0.3315149287766949,0.2451076511671896
Val d'Oise,2002,3,95,604191,195533,0.3236277931978464,0.24367843179612564
Var,2002,3,96,645315,180575,0.2798245817933877,0.23921708173218423
Guadeloupe,2002,3,97,281550,185464,0.6587249156455337,0.6453310037646561
Martinique,2002,3,98,266629,172379,0.6465125699004984,0.5944595276422959
Guyane,2002,3,99,51787,27571,0.5323922992256744,0.5708096908624303
La Réunion,2002,3,100,436889,190835,0.4368043141392894,0.3590005252905513
Aveyron,2007,4,1,217981,25692,0.11786348351461824,0.21794626837849804
Ain,2007,4,2,372899,52040,0.13955521468279614,0.2631482467033292
Aisne,2007,4,3,377475,61974,0.16418040929862904,0.26214388920694637
Allier,2007,4,4,259537,38012,0.14646081290914206,0.26186097542881465
Alpes de Haute Provence,2007,4,5,118936,16143,0.13572845900316136,0.24375131949735182
Hautes Alpes,2007,4,6,102955,14428,0.14013889563401485,0.2423869610935857
Alpes Maritimes,2007,4,7,721716,122392,0.1695847119919747,0.30748839715621684
Ardèche,2007,4,8,235578,30846,0.13093752387744187,0.23759548926882504
Ardennes,2007,4,9,199115,35545,0.17851492855887302,0.27966656619305486
Ariège,2007,4,10,113831,14629,0.12851507937205156,0.23986718886147468
Aube,2007,4,11,204692,33530,0.1638070857678854,0.2623239345751462
Aude,2007,4,12,254404,34465,0.1354734988443578,0.2400950804721936
Bouches du Rhône,2007,4,13,1260916,203962,0.16175700839707008,0.26797319403407427
Calvados,2007,4,14,482677,65521,0.13574502203336808,0.26542276012775257
Cantal,2007,4,15,123363,17513,0.14196314940460267,0.2524893601557011
Charente,2007,4,16,259756,39588,0.15240456428340443,0.26389400650699696
Charente Maritime,2007,4,17,453394,68782,0.15170469834183956,0.2694846693314823
Cher,2007,4,18,232301,40811,0.17568155109104136,0.2665348583352695
Corrèze,2007,4,19,187233,24314,0.1298595867181533,0.2036662198755135
Corse du Sud,2007,4,20,94555,23078,0.24406958912802074,0.40538104153664795
Haute Corse,2007,4,21,111839,27483,0.24573717576158585,0.42128600989825205
Côte d'Or,2007,4,22,349518,50213,0.14366355953055351,0.24482468409229893
Côtes d'Armor,2007,4,23,445906,52087,0.11681161500405915,0.2352864364728487
Creuse,2007,4,24,99799,16523,0.1655627811901923,0.2744371979727341
Dordogne,2007,4,25,309106,36115,0.11683694266691685,0.23732939462023547
Doubs,2007,4,26,353132,50057,0.14175152634142474,0.23405602908708498
Drôme,2007,4,27,338089,46511,0.13757028474750732,0.2532748411439573
Eure,2007,4,28,404264,62946,0.15570518275186512,0.25758865323211605
Eure et Loir,2007,4,29,293851,47165,0.16050651520668638,0.26182660189915974
Finistère,2007,4,30,667662,84178,0.12607876440474372,0.25020925241820274
Gard,2007,4,31,488899,67455,0.13797328282528704,0.2569294508957227
Haute Garonne,2007,4,32,789194,98556,0.12488184147370608,0.2407891605875901
Gers,2007,4,33,140324,16316,0.11627376642627063,0.22699246066030143
Gironde,2007,4,34,953526,119988,0.12583610724825542,0.2833335638638763
Hérault,2007,4,35,699684,98760,0.14114943317268938,0.25659687031096085
Ille et Vilaine,2007,4,36,665646,80991,0.12167278102775349,0.2559543543970928
Indre,2007,4,37,177334,27117,0.15291483866602004,0.24887082715448444
Indre et Loire,2007,4,38,401678,57685,0.1436100558158525,0.26090310392779364
Isère,2007,4,39,784199,107340,0.13687852190579178,0.2620699879282472
Jura,2007,4,40,187083,25831,0.1380724063650893,0.24139908573067104
Landes,2007,4,41,283071,34886,0.12324116564395506,0.2511393304599033
Loir et Cher,2007,4,42,240542,35400,0.14716764639854993,0.24942834055429475
Loire,2007,4,43,505865,74020,0.14632362389174977,0.27201142205398615
Haute Loire,2007,4,44,173258,22362,0.12906763324060072,0.2396616710851413
Loire Atlantique,2007,4,45,892016,113982,0.12778021918889348,0.25979118201292684
Loiret,2007,4,46,435658,67589,0.15514233641985226,0.25066819769856585
Lot,2007,4,47,132896,14595,0.10982271851673489,0.22008363630689531
Lot et Garonne,2007,4,48,238999,30536,0.12776622496328435,0.25181423618691656
Lozère,2007,4,49,60016,7346,0.12240069314849374,0.2262698034949344
Maine et Loire,2007,4,50,539902,65512,0.12134053957940515,0.24894550346204303
Manche,2007,4,51,371781,51495,0.13850896092054193,0.26095552628574453
Marne,2007,4,52,382287,71089,0.18595714737880178,0.29321081389067316
